"Series";"Time";"Value"
"js3-node1";"2018-08-02T22:22:20-04:00";null
"js3-node1";"2018-08-02T22:22:40-04:00";null
"js3-node1";"2018-08-02T22:23:00-04:00";null
"js3-node1";"2018-08-02T22:23:20-04:00";null
"js3-node1";"2018-08-02T22:23:40-04:00";null
"js3-node1";"2018-08-02T22:24:00-04:00";null
"js3-node1";"2018-08-02T22:24:20-04:00";null
"js3-node1";"2018-08-02T22:24:40-04:00";0
"js3-node1";"2018-08-02T22:25:00-04:00";null
"js3-node1";"2018-08-02T22:25:20-04:00";null
"js3-node1";"2018-08-02T22:25:40-04:00";null
"js3-node1";"2018-08-02T22:26:00-04:00";null
"js3-node1";"2018-08-02T22:26:20-04:00";null
"js3-node1";"2018-08-02T22:26:40-04:00";null
"js3-node1";"2018-08-02T22:27:00-04:00";null
"js3-node1";"2018-08-02T22:27:20-04:00";null
"js3-node1";"2018-08-02T22:27:40-04:00";0.02
"js3-node1";"2018-08-02T22:28:00-04:00";null
"js3-node1";"2018-08-02T22:28:20-04:00";null
"js3-node1";"2018-08-02T22:28:40-04:00";null
"js3-node1";"2018-08-02T22:29:00-04:00";null
"js3-node1";"2018-08-02T22:29:20-04:00";null
"js3-node1";"2018-08-02T22:29:40-04:00";null
"js3-node1";"2018-08-02T22:30:00-04:00";null
"js3-node1";"2018-08-02T22:30:20-04:00";null
"js3-node1";"2018-08-02T22:30:40-04:00";0.01
"js3-node1";"2018-08-02T22:31:00-04:00";null
"js3-node1";"2018-08-02T22:31:20-04:00";null
"js3-node1";"2018-08-02T22:31:40-04:00";null
"js3-node1";"2018-08-02T22:32:00-04:00";null
"js3-node1";"2018-08-02T22:32:20-04:00";null
"js3-node1";"2018-08-02T22:32:40-04:00";null
"js3-node1";"2018-08-02T22:33:00-04:00";null
"js3-node1";"2018-08-02T22:33:20-04:00";null
"js3-node1";"2018-08-02T22:33:40-04:00";0
"js3-node1";"2018-08-02T22:34:00-04:00";null
"js3-node1";"2018-08-02T22:34:20-04:00";null
"js3-node1";"2018-08-02T22:34:40-04:00";null
"js3-node1";"2018-08-02T22:35:00-04:00";null
"js3-node1";"2018-08-02T22:35:20-04:00";null
"js3-node1";"2018-08-02T22:35:40-04:00";null
"js3-node1";"2018-08-02T22:36:00-04:00";null
"js3-node1";"2018-08-02T22:36:20-04:00";null
"js3-node1";"2018-08-02T22:36:40-04:00";0
"js3-node1";"2018-08-02T22:37:00-04:00";null
"js3-node1";"2018-08-02T22:37:20-04:00";null
"js3-node1";"2018-08-02T22:37:40-04:00";null
"js3-node1";"2018-08-02T22:38:00-04:00";null
"js3-node1";"2018-08-02T22:38:20-04:00";null
"js3-node1";"2018-08-02T22:38:40-04:00";null
"js3-node1";"2018-08-02T22:39:00-04:00";null
"js3-node1";"2018-08-02T22:39:20-04:00";null
"js3-node1";"2018-08-02T22:39:40-04:00";0
"js3-node1";"2018-08-02T22:40:00-04:00";null
"js3-node1";"2018-08-02T22:40:20-04:00";null
"js3-node1";"2018-08-02T22:40:40-04:00";null
"js3-node1";"2018-08-02T22:41:00-04:00";null
"js3-node1";"2018-08-02T22:41:20-04:00";null
"js3-node1";"2018-08-02T22:41:40-04:00";null
"js3-node1";"2018-08-02T22:42:00-04:00";null
"js3-node1";"2018-08-02T22:42:20-04:00";null
"js3-node1";"2018-08-02T22:42:40-04:00";0
"js3-node1";"2018-08-02T22:43:00-04:00";null
"js3-node1";"2018-08-02T22:43:20-04:00";null
"js3-node1";"2018-08-02T22:43:40-04:00";null
"js3-node1";"2018-08-02T22:44:00-04:00";null
"js3-node1";"2018-08-02T22:44:20-04:00";null
"js3-node1";"2018-08-02T22:44:40-04:00";null
"js3-node1";"2018-08-02T22:45:00-04:00";null
"js3-node1";"2018-08-02T22:45:20-04:00";null
"js3-node1";"2018-08-02T22:45:40-04:00";0
"js3-node1";"2018-08-02T22:46:00-04:00";null
"js3-node1";"2018-08-02T22:46:20-04:00";null
"js3-node1";"2018-08-02T22:46:40-04:00";null
"js3-node1";"2018-08-02T22:47:00-04:00";null
"js3-node1";"2018-08-02T22:47:20-04:00";null
"js3-node1";"2018-08-02T22:47:40-04:00";null
"js3-node1";"2018-08-02T22:48:00-04:00";null
"js3-node1";"2018-08-02T22:48:20-04:00";null
"js3-node1";"2018-08-02T22:48:40-04:00";0
"js3-node1";"2018-08-02T22:49:00-04:00";null
"js3-node1";"2018-08-02T22:49:20-04:00";null
"js3-node1";"2018-08-02T22:49:40-04:00";null
"js3-node1";"2018-08-02T22:50:00-04:00";null
"js3-node1";"2018-08-02T22:50:20-04:00";null
