"Series";"Time";"Value"
"js3-node1";"2018-08-10T12:41:20-04:00";null
"js3-node1";"2018-08-10T12:41:40-04:00";null
"js3-node1";"2018-08-10T12:42:00-04:00";0
"js3-node1";"2018-08-10T12:42:20-04:00";null
"js3-node1";"2018-08-10T12:42:40-04:00";null
"js3-node1";"2018-08-10T12:43:00-04:00";null
"js3-node1";"2018-08-10T12:43:20-04:00";null
"js3-node1";"2018-08-10T12:43:40-04:00";null
"js3-node1";"2018-08-10T12:44:00-04:00";null
"js3-node1";"2018-08-10T12:44:20-04:00";null
"js3-node1";"2018-08-10T12:44:40-04:00";null
"js3-node1";"2018-08-10T12:45:00-04:00";0
"js3-node1";"2018-08-10T12:45:20-04:00";null
"js3-node1";"2018-08-10T12:45:40-04:00";null
"js3-node1";"2018-08-10T12:46:00-04:00";null
"js3-node1";"2018-08-10T12:46:20-04:00";null
"js3-node1";"2018-08-10T12:46:40-04:00";null
"js3-node1";"2018-08-10T12:47:00-04:00";null
"js3-node1";"2018-08-10T12:47:20-04:00";null
"js3-node1";"2018-08-10T12:47:40-04:00";null
"js3-node1";"2018-08-10T12:48:00-04:00";0
"js3-node1";"2018-08-10T12:48:20-04:00";null
"js3-node1";"2018-08-10T12:48:40-04:00";null
"js3-node1";"2018-08-10T12:49:00-04:00";null
"js3-node1";"2018-08-10T12:49:20-04:00";null
"js3-node1";"2018-08-10T12:49:40-04:00";null
"js3-node1";"2018-08-10T12:50:00-04:00";null
"js3-node1";"2018-08-10T12:50:20-04:00";null
"js3-node1";"2018-08-10T12:50:40-04:00";null
"js3-node1";"2018-08-10T12:51:00-04:00";0
"js3-node1";"2018-08-10T12:51:20-04:00";null
"js3-node1";"2018-08-10T12:51:40-04:00";null
"js3-node1";"2018-08-10T12:52:00-04:00";null
"js3-node1";"2018-08-10T12:52:20-04:00";null
"js3-node1";"2018-08-10T12:52:40-04:00";null
"js3-node1";"2018-08-10T12:53:00-04:00";null
"js3-node1";"2018-08-10T12:53:20-04:00";null
"js3-node1";"2018-08-10T12:53:40-04:00";null
"js3-node1";"2018-08-10T12:54:00-04:00";0
"js3-node1";"2018-08-10T12:54:20-04:00";null
"js3-node1";"2018-08-10T12:54:40-04:00";null
"js3-node1";"2018-08-10T12:55:00-04:00";null
"js3-node1";"2018-08-10T12:55:20-04:00";null
